1,Lunch,Peach Salad,754,41,25,33,2023-03-01 01:30,1
2,Snack,Peach Salad,748,27,14,22,2023-03-01 01:30,1
3,Lunch,Steamed Fish with Vegetables,276,57,41,11,2023-03-01 01:30,1
4,Lunch,Mango Smoothie,754,44,32,26,2023-03-01 07:30,1
5,Lunch,Mango Smoothie,221,22,12,41,2023-03-01 07:30,1
6,Breakfast,Mango Smoothie,526,26,15,19,2023-03-01 07:30,1
7,Lunch,Cobb Salad,807,41,14,31,2023-03-01 13:30,1
8,Snack,Protein Shake,793,21,53,45,2023-03-01 13:30,1
9,Snack,Hummus with Carrot Sticks,757,15,33,28,2023-03-01 13:30,1
10,Lunch,Mango Smoothie,419,30,47,10,2023-03-01 19:30,1
11,Lunch,Hummus with Carrot Sticks,328,48,32,11,2023-03-01 19:30,1
12,Breakfast,Streamed Veggies,329,48,31,31,2023-03-01 19:30,1
13,Breakfast,Streamed Veggies,761,41,17,28,2023-03-02 01:30,1
14,Snack,Streamed Veggies,247,37,11,42,2023-03-02 01:30,1
15,Dinner,Cobb Salad,595,19,28,22,2023-03-02 01:30,1
16,Snack,Cobb Salad,290,63,20,40,2023-03-02 07:30,1
17,Dinner,Scrambled Eggs,207,19,13,35,2023-03-02 07:30,1
18,Dinner,Peach Salad,675,61,50,35,2023-03-02 07:30,1
19,Snack,Mango Smoothie,809,23,11,13,2023-03-02 13:30,1
20,Dinner,Cheese Burger,549,58,14,45,2023-03-02 13:30,1
21,Dinner,Scrambled Eggs,425,57,55,13,2023-03-02 13:30,1
22,Lunch,Peach Salad,286,17,28,38,2023-03-02 19:30,1
23,Breakfast,Protein Shake,634,52,13,34,2023-03-02 19:30,1
24,Snack,Mango Smoothie,388,46,55,40,2023-03-02 19:30,1
25,Dinner,Steamed Fish with Vegetables,458,27,56,14,2023-03-03 01:30,1
26,Lunch,Cheese Burger,593,39,20,45,2023-03-03 01:30,1
27,Snack,Grilled Chicken Salad,694,30,56,28,2023-03-03 01:30,1
28,Dinner,Hummus with Carrot Sticks,387,32,28,27,2023-03-03 07:30,1
29,Snack,Protein Shake,284,31,13,26,2023-03-03 07:30,1
30,Snack,Mango Smoothie,883,59,58,43,2023-03-03 07:30,1
31,Snack,Stir Fried Veggies,277,66,29,34,2023-03-03 13:30,1
32,Breakfast,Grilled Chicken Salad,253,34,46,18,2023-03-03 13:30,1
